Device,Comment,Device,Comment
X00,メッセージ送信正常完了信号,Y00,メッセージ送信要求
X01,メッセージ送信異常完了信号,Y01,使用禁止
X02,メッセージ受信中信号,Y02,メッセージ受信完了確認
X03,使用禁止,Y03,使用禁止
X04,使用禁止,Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,使用禁止,Y0F,使用禁止
X10,ネットワークパラメータ書込み完了信号,Y10,ネットワークパラメータ書込み要求
X11,ネットワークパラメータ/参加ノード情報読出し完了信号,Y11,ネットワークパラメータ/参加ノード情報読出し要求
X12,使用禁止,Y12,使用禁止
X13,デバイスプロファイル読出し完了信号,Y13,デバイスプロファイル読出し要求
X14,ログ情報クリア完了信号,Y14,ログ情報クリア要求
X15,ログ情報読出し完了信号,Y15,ログ情報読出し要求
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,使用禁止
X18,ネットワークパラメータ設定状態信号,Y18,使用禁止
X19,トークン加入状態信号,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,ユニットレディ,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,ウォッチドッグタイマエラー検出信号,Y1F,使用禁止
