Device,Comment,Device,Comment
X00,Unit READY,Y00,Not Used
X01,Not Used,Y01,Not Used
X02,HART Cycle Time Max/Min Reset Complete Flag,Y02,HART Cycle Time Max/Min Reset Request
X03,HART Device Variable Access Flag,Y03,HART Device Variable Access Request
X04,Not Used,Y04,Not Used
X05,Not Used,Y05,Not Used
X06,Not Used,Y06,Not Used
X07,External Power Supply READY Flag,Y07,Not Used
X08,Alarm Output Signal,Y08,Not Used
X09,Operation Condition Setting Complete Flag,Y09,Operation Condition Setting Request
X0A,Not Used,Y0A,Not Used
X0B,Not Used,Y0B,Not Used
X0C,Input Signal Error Detection Signal,Y0C,Not Used
X0D,Max/Min Value Reset Complete Flag,Y0D,Max/Min Value Reset Request
X0E,A/D Conversion Complete Flag,Y0E,Not Used
X0F,Error Occurrence Flag,Y0F,Error Clear Request 
