Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,使用禁止,Y01,CH1出力許可/禁止フラグ
X02,使用禁止,Y02,CH2出力許可/禁止フラグ
X03,使用禁止,Y03,CH3出力許可/禁止フラグ
X04,使用禁止,Y04,CH4出力許可/禁止フラグ
X05,使用禁止,Y05,CH5出力許可/禁止フラグ
X06,使用禁止,Y06,CH6出力許可/禁止フラグ
X07,外部供給電源READYフラグ(CH1～CH8),Y07,CH7出力許可/禁止フラグ
X08,使用禁止,Y08,CH8出力許可/禁止フラグ
X09,動作条件設定完了フラグ,Y09,動作条件設定要求
X0A,オフセット・ゲイン設定モード状態フラグ,Y0A,ユーザレンジ書込み要求
X0B,チャンネル変更完了フラグ,Y0B,チャンネル変更要求
X0C,設定値変更完了フラグ,Y0C,設定値変更要求
X0D,断線検出信号,Y0D,使用禁止
X0E,警報出力信号,Y0E,警報出力クリア要求
X0F,エラー発生フラグ,Y0F,エラークリア要求
X10,使用禁止,Y10,使用禁止
X11,使用禁止,Y11,CH9出力許可/禁止フラグ
X12,使用禁止,Y12,CH10出力許可/禁止フラグ
X13,使用禁止,Y13,CH11出力許可/禁止フラグ
X14,使用禁止,Y14,CH12出力許可/禁止フラグ
X15,使用禁止,Y15,CH13出力許可/禁止フラグ
X16,使用禁止,Y16,CH14出力許可/禁止フラグ
X17,外部供給電源READYフラグ(CH9～CH16),Y17,CH15出力許可/禁止フラグ
X18,使用禁止,Y18,CH16出力許可/禁止フラグ
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
