Device,Comment,Device,Comment,,
X00,ユニットREADY,Y00,使用禁止,,
X01,使用禁止,Y01,CH1出力許可/禁止フラグ,,
X02,使用禁止,Y02,CH2出力許可/禁止フラグ,,
X03,使用禁止,Y03,CH3出力許可/禁止フラグ,,
X04,使用禁止,Y04,CH4出力許可/禁止フラグ,,
X05,使用禁止,Y05,CH5出力許可/禁止フラグ,,
X06,使用禁止,Y06,CH6出力許可/禁止フラグ,,
X07,外部供給電源READYフラグ,Y07,CH7出力許可/禁止フラグ,,
X08,使用禁止,Y08,CH8出力許可/禁止フラグ,,
X09,動作条件設定完了フラグ,Y09,動作条件設定要求,,
X0A,オフセット・ゲイン設定モード状態フラグ,Y0A,ユーザレンジ書込み要求,,
X0B,チャンネル変更完了フラグ,Y0B,チャンネル変更要求,,
X0C,設定値変更完了フラグ,Y0C,設定値変更要求,,
X0D,断線検出信号,Y0D,使用禁止,,
X0E,警報出力信号,Y0E,警報出力クリア要求,,
X0F,エラー発生フラグ,Y0F,エラークリア要求,,
