Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,センサヘッド交換要求受付状態,Y01,センサヘッド交換要求
X02,センサヘッドA READY,Y02,使用禁止
X03,センサヘッドB READY,Y03,使用禁止
X04,センサヘッドコンフィグフェーズ完了,Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,コマンド実行要求受付状態,Y08,コマンド実行要求
X09,コマンド実行完了,Y09,使用禁止
X0A,パラメータ設定要求受付状態,Y0A,パラメータ設定要求
X0B,パラメータ設定完了,Y0B,使用禁止
X0C,受光量波形データ更新完了,Y0C,受光量波形データ更新要求
X0D,使用禁止,Y0D,使用禁止
X0E,エラーフラグ,Y0E,使用禁止
X0F,使用禁止,Y0F,使用禁止
X10,判定出力LO OUT1,Y10,使用禁止
X11,判定出力LO OUT2,Y11,使用禁止
X12,判定出力GO OUT1,Y12,使用禁止
X13,判定出力GO OUT2,Y13,使用禁止
X14,判定出力HI OUT1,Y14,使用禁止
X15,判定出力HI OUT2,Y15,使用禁止
X16,ストローブ信号 OUT1,Y16,使用禁止
X17,ストローブ信号 OUT2,Y17,使用禁止
X18,アラーム信号 OUT1,Y18,リセット OUT1
X19,アラーム信号 OUT2,Y19,リセット OUT2
X1A,ゼロセット状態 OUT1,Y1A,ゼロセットON OUT1
X1B,ゼロセット状態 OUT2,Y1B,ゼロセットON OUT2
X1C,使用禁止,Y1C,ゼロセットOFF OUT1
X1D,使用禁止,Y1D,ゼロセットOFF OUT2
X1E,タイミング状態 OUT1,Y1E,タイミング要求 OUT1
X1F,タイミング状態 OUT2,Y1F,タイミング要求 OUT2
