Device,Comment,Device,Comment
X00,ユニットREADYフラグ,Y00,使用不可
X01,設定・動作モード状態,Y01,設定・動作モード指令
X02,エラー発生フラグ,Y02,エラーリセット指令
X03,ハードウェアエラーフラグ,Y03,使用不可
X04,CH1オートチューニング状態,Y04,CH1オートチューニング指令
X05,CH2オートチューニング状態,Y05,CH2オートチューニング指令
X06,CH3オートチューニング状態,Y06,CH3オートチューニング指令
X07,CH4オートチューニング状態,Y07,CH4オートチューニング指令
X08,設定値バックアップ完了フラグ,Y08,設定値バックアップ指令
X09,デフォルト値書込み完了フラグ,Y09,デフォルト設定登録指令
X0A,設定値バックアップ失敗フラグ,Y0A,使用不可
X0B,設定変更完了フラグ,Y0B,設定変更指令
X0C,CH1警報発生フラグ,Y0C,CH1 PID制御強制停止指令
X0D,CH2警報発生フラグ,Y0D,CH2 PID制御強制停止指令
X0E,CH3警報発生フラグ,Y0E,CH3 PID制御強制停止指令
X0F,CH4警報発生フラグ,Y0F,CH4 PID制御強制停止指令
