Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,使用禁止,Y01,使用禁止
X02,使用禁止,Y02,使用禁止
X03,動作条件設定一括リセット完了フラグ,Y03,動作条件設定一括リセット指令
X04,ハードウェアロジック制御中フラグ,Y04,ハードウェアロジック制御開始要求
X05,使用禁止,Y05,ハードウェアロジック制御停止要求
X06,使用禁止,Y06,解列時ハードウェアロジック制御停止用信号
X07,解列時ハードウェアロジック制御停止フラグ,Y07,解列時ハードウェアロジック制御停止フラグクリア要求
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,No.1 A/D変換値ロギングエリア切換え要求完了フラグ,Y0D,No.1 A/D変換値ロギングエリア切換え要求
X0E,No.2 A/D変換値ロギングエリア切換え要求完了フラグ,Y0E,No.2 A/D変換値ロギングエリア切換え要求
X0F,エラー発生フラグ,Y0F,エラークリア要求
X10,IN 0,Y10,汎用指令 0
X11,IN 1,Y11,汎用指令 1
X12,IN 2,Y12,汎用指令 2
X13,IN 3,Y13,汎用指令 3
X14,IN 4,Y14,汎用指令 4
X15,IN 5,Y15,汎用指令 5
X16,IN 6,Y16,汎用指令 6
X17,IN 7,Y17,汎用指令 7
X18,IN 8,Y18,汎用指令 8
X19,IN 9,Y19,汎用指令 9
X1A,IN A,Y1A,汎用指令 A
X1B,IN B,Y1B,汎用指令 B
X1C,使用禁止,Y1C,汎用指令 C
X1D,使用禁止,Y1D,汎用指令 D
X1E,使用禁止,Y1E,汎用指令 E
X1F,使用禁止,Y1F,汎用指令 F
