Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,動作条件設定完了フラグ,Y01,動作条件設定要求フラグ
X02,使用禁止,Y02,使用禁止
X03,使用禁止,Y03,使用禁止
X04,使用禁止,Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,CH1エラー発生,Y08,CH1エラーリセット要求
X09,CH2エラー発生,Y09,CH2エラーリセット要求
X0A,CH3エラー発生,Y0A,CH3エラーリセット要求
X0B,CH4エラー発生,Y0B,CH4エラーリセット要求
X0C,CH5エラー発生,Y0C,CH5エラーリセット要求
X0D,CH6エラー発生,Y0D,CH6エラーリセット要求
X0E,CH7エラー発生,Y0E,CH7エラーリセット要求
X0F,CH8エラー発生,Y0F,CH8エラーリセット要求
X10,CH1積算カウンタ比較フラグ,Y10,CH1比較信号リセット要求
X11,CH2積算カウンタ比較フラグ,Y11,CH2比較信号リセット要求
X12,CH3積算カウンタ比較フラグ,Y12,CH3比較信号リセット要求
X13,CH4積算カウンタ比較フラグ,Y13,CH4比較信号リセット要求
X14,CH5積算カウンタ比較フラグ,Y14,CH5比較信号リセット要求
X15,CH6積算カウンタ比較フラグ,Y15,CH6比較信号リセット要求
X16,CH7積算カウンタ比較フラグ,Y16,CH7比較信号リセット要求
X17,CH8積算カウンタ比較フラグ,Y17,CH8比較信号リセット要求
X18,使用禁止,Y18,CH1カウンタイネーブル
X19,使用禁止,Y19,CH2カウンタイネーブル
X1A,使用禁止,Y1A,CH3カウンタイネーブル
X1B,使用禁止,Y1B,CH4カウンタイネーブル
X1C,使用禁止,Y1C,CH5カウンタイネーブル
X1D,使用禁止,Y1D,CH6カウンタイネーブル
X1E,使用禁止,Y1E,CH7カウンタイネーブル
X1F,使用禁止,Y1F,CH8カウンタイネーブル
