Device,Comment,Device,Comment
X00,ユニットREADY,Y00,CH1一致信号No.1リセット指令
X01,CH1カウンタ値大(ポイントNo.1),Y01,CH1プリセット指令
X02,CH1カウンタ値一致(ポイントNo.1),Y02,CH1一致信号イネーブル指令
X03,CH1カウンタ値小(ポイントNo.1),Y03,CH1減算カウント指令
X04,CH1外部プリセット要求検出,Y04,CH1カウンタイネーブル指令
X05,CH1カウンタ値大(ポイントNo.2),Y05,CH1外部プリセット検出リセット指令
X06,CH1カウンタ値一致(ポイントNo.2),Y06,CH1カウンタ機能選択開始指令/PWM出力開始指令/パルス測定開始指令
X07,CH1カウンタ値小(ポイントNo.2),Y07,CH1一致信号No.2リセット指令
X08,CH2カウンタ値大(ポイントNo.1),Y08,CH2一致信号No.1リセット指令
X09,CH2カウンタ値一致(ポイントNo.1),Y09,CH2プリセット指令
X0A,CH2カウンタ値小(ポイントNo.1),Y0A,CH2一致信号イネーブル指令
X0B,CH2外部プリセット要求検出,Y0B,CH2減算カウント指令
X0C,CH2カウンタ値大(ポイントNo.2),Y0C,CH2カウンタイネーブル指令
X0D,CH2カウンタ値一致(ポイントNo.2),Y0D,CH2外部プリセット検出リセット指令
X0E,CH2カウンタ値小(ポイントNo.2),Y0E,CH2カウンタ機能選択開始指令/PWM出力開始指令/パルス測定開始指令
X0F,使用禁止,Y0F,CH2一致信号No.2リセット指令
