Device,Comment,Device,Comment
X00,RD75準備完了,Y00,シーケンサレディ
X01,ユニットアクセスフラグ,Y01,使用禁止
X02,使用禁止,Y02,使用禁止
X03,使用禁止,Y03,使用禁止
X04,軸1 MコードON,Y04,軸1 軸停止
X05,軸2 MコードON,Y05,軸2 軸停止
X06,軸3 MコードON,Y06,軸3 軸停止
X07,軸4 MコードON,Y07,軸4 軸停止
X08,軸1 エラー検出,Y08,軸1 正転JOG始動
X09,軸2 エラー検出,Y09,軸1 逆転JOG始動
X0A,軸3 エラー検出,Y0A,軸2 正転JOG始動
X0B,軸4 エラー検出,Y0B,軸2 逆転JOG始動
X0C,軸1 BUSY,Y0C,軸3 正転JOG始動
X0D,軸2 BUSY,Y0D,軸3 逆転JOG始動
X0E,軸3 BUSY,Y0E,軸4 正転JOG始動
X0F,軸4 BUSY,Y0F,軸4 逆転JOG始動
X10,軸1 始動完了,Y10,軸1 位置決め始動
X11,軸2 始動完了,Y11,軸2 位置決め始動
X12,軸3 始動完了,Y12,軸3 位置決め始動
X13,軸4 始動完了,Y13,軸4 位置決め始動
X14,軸1 位置決め完了,Y14,軸1 実行禁止フラグ
X15,軸2 位置決め完了,Y15,軸2 実行禁止フラグ
X16,軸3 位置決め完了,Y16,軸3 実行禁止フラグ
X17,軸4 位置決め完了,Y17,軸4 実行禁止フラグ
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
