Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,SDメモリカード装着状態,Y01,使用禁止
X02,ファイルアクセス状態,Y02,ファイルアクセス停止要求
X03,使用禁止,Y03,ファイルアクセス停止解除要求
X04,使用禁止,Y04,使用禁止
X05,ユニット動作状態,Y05,使用禁止
X06,アクセス状態,Y06,使用禁止
X07,INFO LED状態,Y07,INFO LED消灯要求
X08,設定の更新状態,Y08,設定の更新要求
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,時刻同期タイミング,Y0B,時刻同期要求
X0C,ストリーミング転送中の通信状態,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,使用禁止,Y0F,使用禁止
X10,ERR LED状態,Y10,エラークリア要求
X11,使用禁止,Y11,使用禁止
X12,使用禁止,Y12,使用禁止
X13,使用禁止,Y13,使用禁止
X14,使用禁止,Y14,使用禁止
X15,使用禁止,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,使用禁止
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
