Device,Comment,Device,Comment
X00,Unit Ready,Y00,File Access Stop Request
X01,SD Memory Card Mount Status,Y01,File Access Stop Release Request
X02,File Access Status,Y02,INFO LED Clear Request
X03,Recording Function Operation Status,Y03,Error Clear Request
X04,INFO LED Status,Y04,Not Used
X05,Unit Stop Error Status,Y05,Not Used
X06,Unit Continue Error Status,Y06,Not Used
X07,Not Used,Y07,Not Used
X08,Not Used,Y08,Not Used
X09,Not Used,Y09,Not Used
X0A,Not Used,Y0A,Not Used
X0B,Not Used,Y0B,Not Used
X0C,Not Used,Y0C,Not Used
X0D,Not Used,Y0D,Not Used
X0E,Not Used,Y0E,Not Used
X0F,Not Used,Y0F,Not Used
X10,Not Used,Y10,Not Used
X11,Not Used,Y11,Not Used
X12,Not Used,Y12,Not Used
X13,Not Used,Y13,Not Used
X14,Not Used,Y14,Not Used
X15,Not Used,Y15,Not Used
X16,Not Used,Y16,Not Used
X17,Not Used,Y17,Not Used
X18,Not Used,Y18,Not Used
X19,Not Used,Y19,Not Used
X1A,Not Used,Y1A,Not Used
X1B,Not Used,Y1B,Not Used
X1C,Not Used,Y1C,Not Used
X1D,Not Used,Y1D,Not Used
X1E,Not Used,Y1E,Not Used
X1F,Not Used,Y1F,Not Used 
