Device,Comment,Device,Comment
X00,ユニット READY,Y00,使用禁止
X01,期間電力量 1 データ確定フラグ,Y01,期間電力量 1 計量フラグ
X02,期間電力量 2 データ確定フラグ,Y02,期間電力量 2 計量フラグ
X03,期間電力量 1 リセット完了フラグ,Y03,期間電力量 1 リセット要求
X04,期間電力量 2 リセット完了フラグ,Y04,期間電力量 2 リセット要求
X05,使用禁止,Y05,使用禁止
X06,波形データ取得クロック,Y06,使用禁止
X07,高調波計測データ取得クロック,Y07,使用禁止
X08,計測データ取得クロック,Y08,使用禁止
X09,動作条件設定フラグ,Y09,動作条件設定要求
X0A,警報 1 発生フラグ,Y0A,警報 1 リセット要求
X0B,警報 2 発生フラグ,Y0B,警報 2 リセット要求
X0C,積算値セット完了フラグ,Y0C,積算値セット要求
X0D,最大値・最小値クリア完了フラグ,Y0D,最大値・最小値クリア要求
X0E,使用禁止,Y0E,使用禁止
X0F,エラー発生フラグ,Y0F,エラークリア要求
X10,使用禁止,Y10,使用禁止
X11,使用禁止,Y11,使用禁止
X12,使用禁止,Y12,使用禁止
X13,使用禁止,Y13,使用禁止
X14,使用禁止,Y14,使用禁止
X15,使用禁止,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,使用禁止
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
