Device,Comment,Device,Comment
X00,ユニットREADY,Y00,異常フラグクリア指令
X01,DP・DN短絡異常,Y01,アドレス自動認識指令
X02,24V-DP短絡異常,Y02,アドレス重複検査指令
X03,伝送電源低下異常,Y03,使用禁止
X04,"DP, DN断線異常",Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,AnyWireASLINKバージョン互換性検査異常,Y08,使用禁止
X09,バックアップ/リストア未対応異常,Y09,使用禁止
X0A,ハンドシェイク付パラメータアクセス対応フラグ,Y0A,使用禁止
X0B,パラメータアクセス中フラグ(ハンドシェイク付),Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,AnyWireASLINKバージョン互換性検査実行中フラグ,Y0D,AnyWireASLINKバージョン互換性検査指令
X0E,使用禁止,Y0E,使用禁止
X0F,調整モード実行中フラグ,Y0F,使用禁止
X10,リモートユニットアラーム信号,Y10,リモートユニットパラメータアクセス要求指令
X11,パラメータアクセス完了フラグ,Y11,リモートユニットパラメータ読出し指令
X12,パラメータアクセス異常,Y12,リモートユニットパラメータ書込み指令
X13,使用禁止,Y13,使用禁止
X14,アドレス自動認識フラグ,Y14,使用禁止
X15,アドレス重複検査フラグ,Y15,使用禁止
X16,リモートユニット交換中フラグ,Y16,使用禁止
X17,リモートユニット交換完了フラグ,Y17,使用禁止
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
