Device,Comment,Device,Comment
X00,CH1送信正常完了,Y00,CH1送信要求
X01,CH1送信異常完了,Y01,CH1受信読出し完了
X02,CH1送信処理中,Y02,CH1モード切換え要求
X03,CH1受信読み出し要求,Y03,CH1プロトコル実行要求
X04,CH1受信異常検出,Y04,使用禁止
X05,CH1プロトコル実行完了,Y05,使用禁止
X06,CH1モード切換え中,Y06,使用禁止
X07,CH2送信正常完了,Y07,CH2送信要求
X08,CH2送信異常完了,Y08,CH2受信読出し完了
X09,CH2送信処理中,Y09,CH2モード切換え要求
X0A,CH2受信読み出し要求,Y0A,CH2プロトコル実行要求
X0B,CH2受信異常検出,Y0B,使用禁止
X0C,CH2プロトコル実行完了,Y0C,使用禁止
X0D,CH2モード切換え中,Y0D,使用禁止
X0E,CH1エラー発生,Y0E,エラー初期化要求
X0F,CH2エラー発生,Y0F,使用禁止
X10,モデム初期化完了,Y10,モデム初期化要求
X11,ダイヤル中,Y11,回線接続要求
X12,回線接続中,Y12,回線切断要求
X13,初期化回線接続失敗,Y13,使用禁止
X14,回線切断完了,Y14,使用禁止
X15,使用禁止,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,フラッシュROMからのユーザ登録フレーム読出し完了,Y17,フラッシュROMからのユーザ登録フレーム読出し要求
X18,フラッシュROMからのユーザ登録フレーム読込み完了,Y18,フラッシュROMへのユーザ登録フレーム書込み要求
X19,使用禁止,Y19,使用禁止
X1A,CH1グローバル信号,Y1A,使用禁止
X1B,CH2グローバル信号,Y1B,使用禁止
X1C,パラメータ初期化完了,Y1C,パラメータ初期化要求
X1D,通信プロトコル準備完了,Y1D,使用禁止
X1E,ユニットレディ,Y1E,使用禁止
X1F,ウォッチドッグタイマエラー,Y1F,使用禁止
