Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,データ交換完了,Y01,データ交換要求
X02,ユニット再起動完了,Y02,ユニット再起動要求
X03,使用禁止,Y03,使用禁止
X04,使用禁止,Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,RJ71CN91エラー,Y0F,RJ71CN91エラークリア要求
X10,NMTエラー制御異常あり,Y10,NMTエラー制御異常クリア要求
X11,EMCYメッセージあり,Y11,EMCYメッセージクリア要求
X12,Time stamp設定完了,Y12,Time stamp設定要求
X13,バッファメモリ内Time stamp情報あり,Y13,Time stamp読出し要求
X14,使用禁止,Y14,使用禁止
X15,使用禁止,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,コマンド実行完了,Y17,コマンド実行要求
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,設定保存/出荷時設定復元完了,Y1F,設定保存/出荷時設定復元要求
