Device,Comment,Device,Comment
X00,ウォッチドッグタイマエラー,Y00,使用禁止
X01,I/O交信中,Y01,使用禁止
X02,メッセージ通信完了,Y02,使用禁止
X03,マスタ機能用エラーセット信号,Y03,使用禁止
X04,スレーブダウン信号,Y04,使用禁止
X05,メッセージ通信エラー信号,Y05,使用禁止
X06,フラッシュ ROMへパラメータ保存/クリア中,Y06,使用禁止
X07,フラッシュ ROMへパラメータ保存/クリア完了,Y07,使用禁止
X08,スレーブ機能用エラーセット信号,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,ハードウェアテスト中,Y0A,使用禁止
X0B,ハードウェアテスト完了,Y0B,使用禁止
X0C,ハードウェアテストエラー検出,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,ユニットレディ,Y0F,使用禁止
X10,使用禁止,Y10,使用禁止
X11,使用禁止,Y11,I/O交信要求
X12,使用禁止,Y12,メッセージ通信要求
X13,使用禁止,Y13,マスタ機能用エラーリセット要求
X14,自動コンフィグレーション実行中,Y14,使用禁止
X15,自動コンフィグレーション完了,Y15,自動コンフィグレーション要求
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,フラッシュ ROMへパラメータ保存/クリア要求
X18,使用禁止,Y18,スレーブ機能用エラーリセット要求
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
