Device,Comment,Device,Comment
X00,ユニットREADY,Y00,使用禁止
X01,使用禁止,Y01,使用禁止
X02,使用禁止,Y02,使用禁止
X03,使用禁止,Y03,使用禁止
X04,使用禁止,Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,自局エラー,Y0F,自局エラークリア要求
X10,EtherNet/IP通信起動中,Y10,EtherNet/IP通信起動要求
X11,使用禁止,Y11,PINGテスト実行要求
X12,PINGテスト完了,Y12,使用禁止
X13,使用禁止,Y13,使用禁止
X14,コネクション情報読出し処理完了,Y14,コネクション情報読出し要求
X15,コネクション情報読出し異常完了,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,使用禁止
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,使用禁止,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,通信READY,Y1F,使用禁止
