Device,Comment,Device,Comment
X00,コネクション No.1 の固定バッファ交信用,Y00,コネクション No.1
X01,コネクション No.1 の固定バッファ交信用,Y01,コネクション No.2
X02,コネクション No.2 の固定バッファ交信用,Y02,コネクション No.3
X03,コネクション No.2 の固定バッファ交信用,Y03,コネクション No.4
X04,コネクション No.3 の固定バッファ交信用,Y04,コネクション No.5
X05,コネクション No.3 の固定バッファ交信用,Y05,コネクション No.6
X06,コネクション No.4 の固定バッファ交信用,Y06,コネクション No.7
X07,コネクション No.4 の固定バッファ交信用,Y07,コネクション No.8
X08,コネクション No.5 の固定バッファ交信用,Y08,コネクション No.1
X09,コネクション No.5 の固定バッファ交信用,Y09,コネクション No.2
X0A,コネクション No.6 の固定バッファ交信用,Y0A,コネクション No.3
X0B,コネクション No.6 の固定バッファ交信用,Y0B,コネクション No.4
X0C,コネクション No.7 の固定バッファ交信用,Y0C,コネクション No.5
X0D,コネクション No.7 の固定バッファ交信用,Y0D,コネクション No.6
X0E,コネクション No.8 の固定バッファ交信用,Y0E,コネクション No.7
X0F,コネクション No.8 の固定バッファ交信用,Y0F,コネクション No.8
X10,コネクション No.1 用オープン完了,Y10,使用禁止
X11,コネクション No.2 用オープン完了,Y11,使用禁止
X12,コネクション No.3 用オープン完了,Y12,使用禁止
X13,コネクション No.4 用オープン完了,Y13,使用禁止
X14,コネクション No.5 用オープン完了,Y14,使用禁止
X15,コネクション No.6 用オープン完了,Y15,使用禁止
X16,コネクション No.7 用オープン完了,Y16,使用禁止
X17,コネクション No.8 用オープン完了,Y17,ERR LED消灯要求
X18,オープン異常検出信号,Y18,使用禁止
X19,イニシャル正常完了信号,Y19,使用禁止
X1A,イニシャル異常完了信号,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,ERR LED点灯確認,Y1C,使用禁止
X1D,通信プロトコル準備完了,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,ウォッチドッグタイマエラー検出,Y1F,使用禁止
