Device,Comment,Device,Comment
X00,交信起動完了信号,Y00,交信起動要求信号
X01,通信障害検出信号,Y01,通信障害検出リセット要求信号
X02,通信障害領域クリア完了信号,Y02,通信障害領域クリア要求信号
X03,使用禁止,Y03,使用禁止
X04,グローバルコントロール完了信号,Y04,グローバルコントロール要求信号
X05,グローバルコントロール異常信号,Y05,使用禁止
X06,拡張通信障害情報読出し応答信号,Y06,拡張通信障害情報読出し要求信号
X07,使用禁止,Y07,使用禁止
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,使用禁止,Y0F,使用禁止
X10,動作モード信号,Y10,使用禁止
X11,動作モード変更完了信号,Y11,動作モード変更要求信号
X12,使用禁止,Y12,使用禁止
X13,使用禁止,Y13,使用禁止
X14,使用禁止,Y14,使用禁止
X15,使用禁止,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,使用禁止
X18,アラーム読出し応答信号,Y18,アラーム読出し要求信号
X19,時刻制御起動応答信号,Y19,時刻制御起動要求信号
X1A,使用禁止,Y1A,使用禁止
X1B,通信READY信号,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,ユニットREADY信号,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,ユニットウォッチドッグタイマエラー信号,Y1F,使用禁止
