Device,Comment,Device,Comment
X00,Unit Watchdog Timer Error Signal,Y00,Input Transmission Area Refresh Instruction Signal
X01,I/O Data Communication in Progress Signal,Y01,Not Used
X02,Extended Communication Error Notification Complete Signal,Y02,Extended Communication Error Notification Request Signal
X03,Unit Error Signal,Y03,Unit Error Reset Request Signal
X04,Not Used,Y04,Not Used
X05,SYNC Mode in Progress Signal,Y05,Not Used
X06,SYNC Reception Signal,Y06,Not Used
X07,FREEZE Mode in Progress Signal,Y07,Not Used
X08,Not Used,Y08,Not Used
X09,Not Used,Y09,Not Used
X0A,Not Used,Y0A,Not Used
X0B,Not Used,Y0B,Not Used
X0C,Not Used,Y0C,Not Used
X0D,Not Used,Y0D,Not Used
X0E,Not Used,Y0E,Not Used
X0F,Not Used,Y0F,Not Used
X10,Not Used,Y10,Not Used
X11,Operation Mode Change Complete Signal,Y11,Operation Mode Change Request Signal
X12,Not Used,Y12,Not Used
X13,Station Number Change Complete Signal,Y13,Station Number Change Request Signal
X14,Not Used,Y14,Not Used
X15,Not Used,Y15,Not Used
X16,Not Used,Y16,Not Used
X17,Not Used,Y17,Not Used
X18,Not Used,Y18,Not Used
X19,Not Used,Y19,Not Used
X1A,Not Used,Y1A,Not Used
X1B,Not Used,Y1B,Not Used
X1C,Not Used,Y1C,Not Used
X1D,Unit Ready Signal,Y1D,Not Used
X1E,Not Used,Y1E,Not Used
X1F,Not Used,Y1F,Not Used 
