Device,Comment,Device,Comment
X00,ユニットウォッチドッグタイマエラー信号,Y00,入力送信エリアリフレッシュ指示信号
X01,入出力データ交信中信号,Y01,使用禁止
X02,拡張通信障害通知完了信号,Y02,拡張通信障害通知要求信号
X03,ユニットエラー信号,Y03,ユニットエラーリセット要求信号
X04,使用禁止,Y04,使用禁止
X05,SYNCモード中信号,Y05,使用禁止
X06,SYNC受信信号,Y06,使用禁止
X07,FREEZEモード中信号,Y07,使用禁止
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,使用禁止,Y0F,使用禁止
X10,使用禁止,Y10,使用禁止
X11,動作モード変更完了信号,Y11,動作モード変更要求信号
X12,使用禁止,Y12,使用禁止
X13,局番変更完了信号,Y13,局番変更要求信号
X14,使用禁止,Y14,使用禁止
X15,使用禁止,Y15,使用禁止
X16,使用禁止,Y16,使用禁止
X17,使用禁止,Y17,使用禁止
X18,使用禁止,Y18,使用禁止
X19,使用禁止,Y19,使用禁止
X1A,使用禁止,Y1A,使用禁止
X1B,使用禁止,Y1B,使用禁止
X1C,使用禁止,Y1C,使用禁止
X1D,ユニットREADY信号,Y1D,使用禁止
X1E,使用禁止,Y1E,使用禁止
X1F,使用禁止,Y1F,使用禁止
